epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3673.18,0.37621,0.76715,0.29484,0.94906,0.92836,0.75069,0.82043,0.70175,0.9249,0.74786,0.81285,0.67971,0.68287,1.70136,0.77834,0.95,0.00109,0.00109,0.00109
92,4392.52,0.36781,0.74924,0.2836,0.94239,0.92969,0.74913,0.8204,0.70296,0.92654,0.74659,0.81239,0.67699,0.67911,1.72374,0.77077,0.94767,0.000991,0.000991,0.000991
93,5111.93,0.36064,0.7413,0.27382,0.94041,0.93013,0.74822,0.82015,0.70311,0.92636,0.74568,0.81173,0.67748,0.67955,1.73003,0.77112,0.94716,0.000892,0.000892,0.000892
94,5831.47,0.35382,0.7273,0.26876,0.93505,0.93407,0.74508,0.81802,0.70113,0.93025,0.74203,0.81018,0.67607,0.68221,1.73737,0.77261,0.94831,0.000793,0.000793,0.000793
95,6550.32,0.34807,0.7189,0.26459,0.9316,0.93334,0.74706,0.81558,0.70101,0.93082,0.74314,0.80853,0.67513,0.68173,1.74384,0.77142,0.94781,0.000694,0.000694,0.000694
96,7269.63,0.34165,0.71682,0.25982,0.92709,0.92885,0.75025,0.8157,0.70164,0.93129,0.74381,0.80932,0.67457,0.68035,1.75127,0.76612,0.94611,0.000595,0.000595,0.000595
97,7989.14,0.33975,0.71332,0.25793,0.92654,0.92864,0.74924,0.81572,0.70135,0.92515,0.74739,0.80908,0.67394,0.67808,1.75716,0.76304,0.94437,0.000496,0.000496,0.000496
98,8708.32,0.33646,0.70827,0.25348,0.9254,0.92927,0.75101,0.81464,0.70052,0.92471,0.74797,0.80782,0.67334,0.67573,1.76045,0.76008,0.94276,0.000397,0.000397,0.000397
99,9494.61,0.33025,0.70191,0.24798,0.91921,0.92768,0.75432,0.81394,0.70096,0.92308,0.75076,0.80734,0.67328,0.67376,1.76334,0.7579,0.94133,0.000298,0.000298,0.000298
100,10234.8,0.32802,0.69826,0.24758,0.91887,0.92558,0.75534,0.81331,0.70107,0.9222,0.75203,0.80638,0.67363,0.6726,1.7655,0.75775,0.94024,0.000199,0.000199,0.000199
